area,unidad_area,habitaciones,banos,antiguedad,unidad_antiguedad,garage,piso,ubicacion,tipo_vivienda,precio,moneda
184,m²,7,3,20,años,0,18,Surco,Departamento,614777,Soles
142,m²,3,5,19,años,2,20,Miraflores,Casa,597935,Soles
342,m²,4,2,34,años,0,5,Lima Centro,Casa,801366,Soles
159,m²,5,3,40,años,2,1,San Isidro,Departamento,567737,Soles
232,m²,7,3,6,años,0,17,Miraflores,Casa,805245,Soles
70,m²,2,3,5,años,0,8,La Molina,Casa,381330,Soles
230,m²,4,1,37,años,0,17,Miraflores,Casa,626104,Soles
343,m²,5,1,27,años,2,5,Miraflores,Casa,909104,Soles
201,m²,7,4,20,años,1,15,San Isidro,Departamento,681694,Soles
143,m²,2,5,6,años,0,4,Miraflores,Casa,543943,Soles
200,m²,4,1,34,años,1,7,Surco,Casa,603165,Soles
175,m²,7,1,5,años,0,10,Barranco,Departamento,569091,Soles
207,m²,2,1,15,años,1,13,La Molina,Departamento,532379,Soles
193,m²,3,2,1,años,1,15,La Molina,Departamento,530407,Soles
276,m²,1,2,7,años,0,2,Miraflores,Departamento,613984,Soles
245,m²,3,1,37,años,2,9,Lima Centro,Departamento,556025,Soles
141,m²,6,4,8,años,0,11,Lima Centro,Departamento,520211,Soles
65,m²,2,5,27,años,2,13,Surco,Departamento,340082,Soles
258,m²,2,3,13,años,0,9,San Isidro,Casa,747896,Soles
116,m²,1,5,39,años,2,8,Barranco,Casa,471095,Soles
250,m²,5,4,3,años,0,9,Surco,Departamento,718074,Soles
142,m²,6,5,15,años,2,18,Lima Centro,Casa,668243,Soles
223,m²,4,5,31,años,1,19,La Molina,Casa,719852,Soles
178,m²,2,1,20,años,2,8,Lima Centro,Casa,499639,Soles
281,m²,5,3,37,años,0,6,Lima Centro,Departamento,703248,Soles
163,m²,3,5,3,años,0,19,Surco,Casa,634999,Soles
128,m²,2,2,37,años,1,12,La Molina,Departamento,382701,Soles
220,m²,5,5,9,años,2,7,Surco,Casa,767305,Soles
291,m²,1,1,3,años,0,20,Miraflores,Departamento,663701,Soles
284,m²,1,3,39,años,0,5,San Isidro,Departamento,659987,Soles
205,m²,1,1,9,años,2,5,Lima Centro,Casa,534953,Soles
231,m²,6,4,37,años,0,11,San Isidro,Casa,741142,Soles
120,m²,6,4,40,años,1,11,Miraflores,Casa,553430,Soles
341,m²,7,2,24,años,1,10,Miraflores,Departamento,921764,Soles
40,m²,6,5,25,años,2,2,Miraflores,Casa,496605,Soles
153,m²,6,5,6,años,1,5,San Isidro,Departamento,607797,Soles
217,m²,3,2,40,años,0,11,Surco,Departamento,519780,Soles
147,m²,2,1,22,años,1,4,Barranco,Departamento,377555,Soles
237,m²,4,4,10,años,1,16,Surco,Casa,765184,Soles
232,m²,1,4,36,años,2,8,Miraflores,Casa,642630,Soles
57,m²,3,1,20,años,1,4,Lima Centro,Casa,290948,Soles
232,m²,2,1,35,años,0,11,La Molina,Casa,603570,Soles
55,m²,4,2,38,años,1,6,Lima Centro,Departamento,250898,Soles
145,m²,2,4,35,años,2,18,San Isidro,Casa,544890,Soles
161,m²,1,1,25,años,2,18,Surco,Departamento,400772,Soles
224,m²,1,4,5,años,1,20,Surco,Departamento,576556,Soles
53,m²,2,2,40,años,1,3,Surco,Departamento,216008,Soles
243,m²,4,4,16,años,0,18,Surco,Departamento,668915,Soles
235,m²,3,2,28,años,0,9,Surco,Casa,634862,Soles
155,m²,7,3,36,años,0,5,Barranco,Departamento,519416,Soles
216,m²,7,5,26,años,2,8,La Molina,Departamento,759102,Soles
238,m²,7,5,26,años,2,16,La Molina,Departamento,781212,Soles
193,m²,1,4,2,años,2,19,La Molina,Departamento,540082,Soles
269,m²,2,2,13,años,0,5,Lima Centro,Casa,648735,Soles
262,m²,2,2,38,años,1,11,Barranco,Departamento,591503,Soles
238,m²,5,4,35,años,1,9,La Molina,Casa,772843,Soles
46,m²,7,5,37,años,2,14,Lima Centro,Casa,449406,Soles
115,m²,5,5,37,años,0,4,La Molina,Departamento,467294,Soles
186,m²,7,5,22,años,1,9,Surco,Casa,748088,Soles
282,m²,1,2,17,años,1,5,La Molina,Casa,679741,Soles
242,m²,3,2,3,años,2,16,San Isidro,Casa,727125,Soles
212,m²,7,3,19,años,1,16,Barranco,Departamento,722544,Soles
156,m²,2,3,28,años,1,9,Barranco,Casa,533047,Soles
85,m²,2,4,13,años,1,16,La Molina,Casa,451006,Soles
68,m²,5,2,4,años,1,17,Surco,Departamento,403351,Soles
308,m²,5,1,11,años,0,7,Lima Centro,Departamento,706967,Soles
273,m²,1,3,12,años,1,12,Surco,Casa,737242,Soles
103,m²,6,1,15,años,1,16,La Molina,Casa,484838,Soles
282,m²,5,5,22,años,1,6,San Isidro,Departamento,799682,Soles
54,m²,4,1,10,años,2,7,Miraflores,Departamento,343213,Soles
145,m²,3,4,32,años,0,1,Surco,Departamento,452826,Soles
128,m²,5,1,14,años,1,20,San Isidro,Casa,550374,Soles
232,m²,7,3,29,años,1,7,Surco,Casa,791780,Soles
306,m²,7,5,25,años,2,4,Lima Centro,Casa,950795,Soles
344,m²,5,3,19,años,2,4,Surco,Departamento,880638,Soles
181,m²,6,3,17,años,1,10,Miraflores,Departamento,621301,Soles
163,m²,1,5,25,años,2,11,Barranco,Departamento,519470,Soles
53,m²,6,4,18,años,1,14,Surco,Casa,485282,Soles
58,m²,5,5,12,años,1,8,Barranco,Casa,505810,Soles
223,m²,5,3,10,años,2,18,Miraflores,Casa,749196,Soles
281,m²,2,3,35,años,0,11,Barranco,Departamento,636165,Soles
221,m²,2,3,26,años,1,12,San Isidro,Casa,660593,Soles
100,m²,4,1,40,años,2,19,La Molina,Departamento,371147,Soles
139,m²,5,1,24,años,2,10,Surco,Departamento,509471,Soles
117,m²,2,2,21,años,1,19,Surco,Departamento,367334,Soles
132,m²,7,1,31,años,1,6,San Isidro,Departamento,478508,Soles
271,m²,3,2,10,años,2,6,Surco,Departamento,680080,Soles
262,m²,6,4,25,años,1,16,Surco,Departamento,738872,Soles
313,m²,2,3,0,años,1,17,Miraflores,Departamento,795351,Soles
42,m²,6,2,14,años,2,12,San Isidro,Departamento,361131,Soles
236,m²,5,5,19,años,0,3,Lima Centro,Casa,723459,Soles
273,m²,6,5,38,años,2,11,Surco,Departamento,797061,Soles
290,m²,3,2,10,años,1,1,Miraflores,Departamento,739455,Soles
107,m²,2,1,37,años,2,6,Lima Centro,Casa,392603,Soles
59,m²,4,3,34,años,2,2,La Molina,Departamento,339382,Soles
95,m²,6,1,3,años,2,4,Surco,Casa,513520,Soles
103,m²,5,3,30,años,2,5,Miraflores,Departamento,442133,Soles
255,m²,6,1,33,años,1,20,La Molina,Departamento,685848,Soles
93,m²,5,5,7,años,1,4,Lima Centro,Casa,495218,Soles
142,m²,7,3,33,años,0,12,Barranco,Casa,588956,Soles
122,m²,1,5,31,años,0,16,San Isidro,Departamento,370379,Soles
46,m²,6,1,7,años,2,16,Miraflores,Departamento,396287,Soles
301,m²,1,1,16,años,2,8,Surco,Casa,739309,Soles
277,m²,1,1,11,años,0,10,San Isidro,Casa,694318,Soles
99,m²,1,1,0,años,0,6,San Isidro,Casa,414623,Soles
264,m²,5,3,5,años,1,11,Miraflores,Departamento,753265,Soles
244,m²,4,3,24,años,2,16,Surco,Departamento,664609,Soles
107,m²,6,1,10,años,0,14,La Molina,Casa,517377,Soles
331,m²,6,4,11,años,2,13,San Isidro,Departamento,971529,Soles
106,m²,4,4,7,años,1,15,Lima Centro,Departamento,418545,Soles
200,m²,1,5,36,años,2,19,Miraflores,Casa,641019,Soles
307,m²,6,5,6,años,1,8,Surco,Casa,965296,Soles
237,m²,2,5,39,años,0,1,Barranco,Departamento,598732,Soles
280,m²,7,4,10,años,0,16,San Isidro,Departamento,833485,Soles
182,m²,1,5,14,años,2,13,Surco,Departamento,521366,Soles
275,m²,4,5,28,años,0,16,Surco,Casa,781979,Soles
294,m²,6,1,6,años,1,14,Lima Centro,Departamento,790326,Soles
86,m²,7,5,39,años,2,10,La Molina,Departamento,498899,Soles
273,m²,3,3,3,años,0,15,San Isidro,Casa,805766,Soles
226,m²,6,4,7,años,0,8,Lima Centro,Casa,735074,Soles
189,m²,5,5,23,años,2,4,Lima Centro,Departamento,618071,Soles
111,m²,7,4,6,años,1,20,Miraflores,Departamento,533513,Soles
241,m²,2,4,12,años,2,11,Lima Centro,Casa,678247,Soles
341,m²,1,4,29,años,2,19,La Molina,Departamento,798891,Soles
42,m²,5,1,35,años,1,19,Surco,Departamento,297138,Soles
336,m²,2,2,6,años,1,20,La Molina,Casa,857637,Soles
236,m²,4,5,15,años,1,13,San Isidro,Casa,786877,Soles
108,m²,2,4,38,años,2,17,San Isidro,Casa,501053,Soles
323,m²,6,2,12,años,0,20,Barranco,Casa,928997,Soles
216,m²,6,2,11,años,2,18,Barranco,Casa,777553,Soles
99,m²,7,3,35,años,1,19,La Molina,Casa,549587,Soles
313,m²,3,4,0,años,2,4,Lima Centro,Casa,848124,Soles
67,m²,6,1,12,años,1,6,San Isidro,Casa,438596,Soles
71,m²,6,3,13,años,2,2,San Isidro,Casa,494516,Soles
327,m²,7,2,35,años,1,8,La Molina,Casa,934412,Soles
64,m²,4,4,26,años,2,11,La Molina,Departamento,340649,Soles
168,m²,2,5,28,años,0,12,La Molina,Departamento,504265,Soles
139,m²,3,4,11,años,2,3,Miraflores,Departamento,524574,Soles
303,m²,1,4,2,años,1,9,La Molina,Casa,780724,Soles
122,m²,5,3,0,años,1,15,Barranco,Departamento,478217,Soles
118,m²,3,5,3,años,2,20,Barranco,Casa,576948,Soles
333,m²,5,3,4,años,2,11,La Molina,Departamento,869450,Soles
306,m²,1,5,10,años,1,18,La Molina,Casa,799225,Soles
218,m²,2,2,21,años,1,12,San Isidro,Departamento,592126,Soles
311,m²,4,5,0,años,0,12,Surco,Departamento,858677,Soles
164,m²,1,3,24,años,0,13,San Isidro,Casa,487419,Soles
304,m²,7,3,32,años,2,15,Surco,Departamento,849227,Soles
138,m²,3,5,5,años,0,6,La Molina,Departamento,488286,Soles
73,m²,2,2,27,años,0,7,La Molina,Casa,337973,Soles
76,m²,6,2,1,años,1,11,Lima Centro,Departamento,370200,Soles
67,m²,2,3,35,años,0,19,Miraflores,Casa,344514,Soles
238,m²,4,4,27,años,1,1,Surco,Departamento,663850,Soles
43,m²,6,5,4,años,2,19,Lima Centro,Departamento,406242,Soles
297,m²,1,3,19,años,2,3,San Isidro,Casa,788196,Soles
242,m²,7,1,30,años,0,18,Miraflores,Departamento,705939,Soles
240,m²,7,5,18,años,2,5,San Isidro,Casa,850130,Soles
323,m²,7,5,9,años,0,2,Lima Centro,Casa,957402,Soles
320,m²,1,3,13,años,2,12,Miraflores,Casa,868351,Soles
302,m²,2,2,11,años,0,20,San Isidro,Departamento,699911,Soles
132,m²,6,5,3,años,2,15,Barranco,Departamento,590048,Soles
74,m²,3,1,12,años,2,19,Surco,Casa,400405,Soles
105,m²,6,2,6,años,1,20,Lima Centro,Departamento,439626,Soles
288,m²,4,3,39,años,2,10,Barranco,Departamento,755664,Soles
330,m²,3,3,27,años,0,1,San Isidro,Departamento,802889,Soles
153,m²,6,4,17,años,1,5,Barranco,Casa,673533,Soles
285,m²,4,4,22,años,1,16,La Molina,Departamento,737919,Soles
350,m²,1,3,8,años,2,7,San Isidro,Departamento,852672,Soles
78,m²,1,5,40,años,0,19,La Molina,Casa,378010,Soles
342,m²,2,1,35,años,1,18,La Molina,Casa,823854,Soles
116,m²,3,4,14,años,2,10,Miraflores,Casa,539841,Soles
301,m²,1,4,23,años,2,1,Barranco,Departamento,752573,Soles
124,m²,7,5,8,años,1,6,Miraflores,Departamento,601629,Soles
287,m²,3,1,14,años,1,8,Lima Centro,Casa,728411,Soles
159,m²,1,2,33,años,1,13,Surco,Casa,505773,Soles
63,m²,1,3,6,años,2,17,Barranco,Casa,408514,Soles
174,m²,5,5,36,años,0,13,Barranco,Casa,634340,Soles
340,m²,6,1,33,años,1,13,Miraflores,Casa,913927,Soles
216,m²,4,4,38,años,0,17,Miraflores,Casa,659653,Soles
157,m²,1,5,17,años,0,5,Miraflores,Departamento,454938,Soles
348,m²,6,1,14,años,1,11,Barranco,Departamento,882956,Soles
285,m²,4,2,37,años,0,14,Lima Centro,Departamento,633627,Soles
105,m²,5,5,10,años,0,17,Lima Centro,Departamento,424264,Soles
125,m²,3,2,33,años,1,20,La Molina,Departamento,424973,Soles
185,m²,1,2,28,años,2,16,Surco,Departamento,467576,Soles
250,m²,5,2,37,años,0,20,Barranco,Casa,708591,Soles
215,m²,4,5,37,años,0,8,Surco,Casa,657664,Soles
95,m²,1,2,33,años,2,14,Miraflores,Departamento,305227,Soles
283,m²,5,5,2,años,2,17,Lima Centro,Departamento,822204,Soles
106,m²,5,5,0,años,2,14,La Molina,Casa,586273,Soles
62,m²,6,5,27,años,0,16,Surco,Casa,480603,Soles
334,m²,1,4,8,años,1,16,Miraflores,Departamento,789964,Soles
346,m²,5,4,16,años,0,1,Barranco,Departamento,884278,Soles
307,m²,1,5,0,años,1,7,Barranco,Casa,834994,Soles
225,m²,1,2,27,años,2,19,San Isidro,Casa,674831,Soles
314,m²,4,5,23,años,2,9,Barranco,Casa,939277,Soles
144,m²,4,5,35,años,1,6,San Isidro,Casa,578631,Soles
197,m²,5,3,25,años,2,5,Barranco,Departamento,641608,Soles
157,m²,4,2,6,años,0,17,Surco,Casa,587484,Soles
321,m²,5,1,10,años,1,1,Lima Centro,Departamento,775511,Soles
347,m²,4,1,4,años,1,8,San Isidro,Departamento,864113,Soles
59,m²,6,4,25,años,2,17,San Isidro,Departamento,462499,Soles
129,m²,6,4,28,años,0,7,Barranco,Casa,553962,Soles
57,m²,7,5,32,años,2,8,La Molina,Departamento,454772,Soles
58,m²,3,2,0,años,0,3,San Isidro,Casa,370942,Soles
242,m²,4,5,12,años,2,1,Barranco,Departamento,702909,Soles
321,m²,3,5,37,años,1,12,San Isidro,Departamento,827738,Soles
139,m²,4,4,36,años,0,9,Miraflores,Casa,539376,Soles
94,m²,5,1,32,años,1,11,Lima Centro,Casa,445016,Soles
315,m²,7,5,16,años,2,15,Surco,Casa,1025260,Soles
164,m²,7,3,29,años,2,15,La Molina,Departamento,607986,Soles
99,m²,3,1,24,años,2,8,Barranco,Departamento,386239,Soles
201,m²,4,3,33,años,2,1,Barranco,Casa,648269,Soles
187,m²,1,4,21,años,0,18,Miraflores,Casa,563369,Soles
221,m²,2,5,17,años,0,7,Surco,Departamento,578391,Soles
163,m²,7,3,13,años,0,7,Miraflores,Casa,642623,Soles
94,m²,1,1,31,años,2,1,La Molina,Departamento,306375,Soles
286,m²,3,5,20,años,1,19,San Isidro,Casa,832984,Soles
301,m²,3,4,14,años,2,5,Lima Centro,Casa,832347,Soles
316,m²,1,5,22,años,1,6,Surco,Departamento,767960,Soles
305,m²,4,3,0,años,0,7,Surco,Departamento,769927,Soles
225,m²,5,3,11,años,2,9,Miraflores,Casa,768890,Soles
215,m²,3,2,31,años,1,7,Surco,Casa,620325,Soles
245,m²,3,4,11,años,2,5,La Molina,Departamento,707158,Soles
91,m²,6,3,15,años,2,14,Surco,Departamento,450558,Soles
116,m²,4,1,11,años,1,16,Miraflores,Casa,517867,Soles
289,m²,3,3,35,años,2,2,Surco,Departamento,734055,Soles
123,m²,1,2,16,años,1,4,Surco,Casa,413424,Soles
224,m²,3,5,35,años,1,12,Lima Centro,Casa,648745,Soles
219,m²,7,5,12,años,2,19,Barranco,Departamento,796138,Soles
185,m²,3,3,32,años,1,15,Lima Centro,Casa,580817,Soles
186,m²,4,2,10,años,2,11,Surco,Casa,673233,Soles
76,m²,1,2,21,años,0,11,San Isidro,Casa,357958,Soles
176,m²,5,4,17,años,1,12,Barranco,Casa,665131,Soles
125,m²,2,1,8,años,2,8,Barranco,Casa,493550,Soles
80,m²,2,2,25,años,0,4,Lima Centro,Casa,324142,Soles
67,m²,1,4,33,años,0,4,San Isidro,Departamento,246725,Soles
239,m²,3,2,15,años,2,10,Surco,Departamento,619803,Soles
309,m²,7,2,1,años,0,12,San Isidro,Casa,936217,Soles
316,m²,3,5,28,años,0,18,Miraflores,Casa,875956,Soles
328,m²,4,5,40,años,2,18,San Isidro,Casa,948365,Soles
316,m²,2,1,28,años,1,12,Surco,Casa,753005,Soles
195,m²,1,1,33,años,0,12,San Isidro,Casa,529068,Soles
44,m²,6,4,30,años,1,1,Surco,Casa,435125,Soles
158,m²,7,1,35,años,1,7,Surco,Casa,596870,Soles
167,m²,2,4,24,años,0,9,Lima Centro,Casa,526981,Soles
162,m²,5,5,17,años,1,18,San Isidro,Casa,662920,Soles
75,m²,2,2,18,años,0,15,La Molina,Casa,334234,Soles
291,m²,2,3,1,años,0,2,La Molina,Departamento,675385,Soles
92,m²,3,3,8,años,2,15,Barranco,Departamento,397257,Soles
86,m²,2,1,31,años,0,11,Surco,Casa,355893,Soles
295,m²,3,4,2,años,1,3,Miraflores,Departamento,765465,Soles
240,m²,1,5,30,años,0,7,San Isidro,Casa,700880,Soles
46,m²,1,2,24,años,1,8,Barranco,Departamento,199453,Soles
275,m²,6,1,33,años,2,7,Surco,Casa,823659,Soles
199,m²,3,2,40,años,2,2,Barranco,Departamento,524401,Soles
286,m²,6,3,12,años,1,2,Barranco,Departamento,778400,Soles
160,m²,6,4,20,años,0,6,San Isidro,Departamento,576739,Soles
164,m²,1,1,37,años,2,16,Barranco,Departamento,415939,Soles
85,m²,2,2,31,años,0,20,San Isidro,Departamento,281717,Soles
222,m²,6,2,34,años,0,5,Surco,Departamento,609557,Soles
325,m²,7,3,28,años,2,7,Lima Centro,Casa,934472,Soles
108,m²,3,1,31,años,2,15,La Molina,Casa,442768,Soles
290,m²,2,5,11,años,2,12,San Isidro,Casa,846443,Soles
346,m²,7,5,10,años,0,17,Miraflores,Casa,1028777,Soles
174,m²,5,3,29,años,0,17,Surco,Departamento,568863,Soles
49,m²,5,3,39,años,0,11,Barranco,Departamento,317341,Soles
315,m²,7,4,12,años,2,16,La Molina,Departamento,927576,Soles
184,m²,3,4,20,años,0,4,La Molina,Departamento,495268,Soles
106,m²,2,1,12,años,0,16,Miraflores,Departamento,309285,Soles
332,m²,6,4,31,años,2,20,Barranco,Casa,956616,Soles
227,m²,2,5,4,años,0,7,Barranco,Casa,722711,Soles
80,m²,4,1,23,años,2,14,San Isidro,Departamento,399578,Soles
176,m²,5,1,4,años,1,3,Miraflores,Departamento,534033,Soles
158,m²,5,4,12,años,0,17,Barranco,Departamento,562957,Soles
131,m²,5,5,26,años,2,4,Barranco,Casa,622003,Soles
274,m²,6,4,6,años,0,6,La Molina,Casa,850875,Soles
212,m²,6,2,34,años,2,15,San Isidro,Casa,744850,Soles
206,m²,7,3,26,años,2,14,Barranco,Casa,774672,Soles
163,m²,5,5,13,años,1,18,Barranco,Casa,665793,Soles
271,m²,4,4,0,años,2,2,San Isidro,Departamento,795322,Soles
109,m²,3,1,19,años,0,7,San Isidro,Departamento,382562,Soles
181,m²,5,5,35,años,2,19,Miraflores,Departamento,606473,Soles
275,m²,3,2,8,años,1,12,La Molina,Departamento,676269,Soles
171,m²,7,3,5,años,2,13,La Molina,Departamento,664320,Soles
79,m²,6,3,30,años,0,16,Barranco,Departamento,407009,Soles
193,m²,1,5,24,años,0,2,San Isidro,Casa,622858,Soles
262,m²,4,1,14,años,2,20,Lima Centro,Casa,717347,Soles
196,m²,5,1,20,años,2,19,Miraflores,Casa,679925,Soles
153,m²,2,1,25,años,1,20,La Molina,Departamento,398954,Soles
261,m²,3,4,9,años,0,11,Lima Centro,Casa,737249,Soles
65,m²,5,4,16,años,0,13,La Molina,Casa,460913,Soles
106,m²,7,2,30,años,2,7,Surco,Casa,564145,Soles
332,m²,2,5,39,años,2,17,Miraflores,Departamento,799095,Soles
176,m²,7,4,20,años,2,19,Lima Centro,Departamento,654023,Soles
251,m²,4,3,22,años,0,11,San Isidro,Departamento,698641,Soles
196,m²,2,3,39,años,1,20,Miraflores,Casa,568941,Soles
159,m²,2,3,9,años,2,3,Lima Centro,Departamento,452728,Soles
115,m²,7,3,0,años,1,4,San Isidro,Casa,620079,Soles
51,m²,3,2,34,años,0,7,La Molina,Casa,308566,Soles
287,m²,5,2,1,años,1,19,Barranco,Departamento,773341,Soles
127,m²,1,3,12,años,2,20,San Isidro,Departamento,439671,Soles
44,m²,1,4,17,años,2,12,Lima Centro,Departamento,239568,Soles
237,m²,2,4,32,años,2,4,San Isidro,Casa,740204,Soles
345,m²,5,1,11,años,0,17,Surco,Departamento,807005,Soles
166,m²,5,3,21,años,1,13,Barranco,Departamento,529204,Soles
217,m²,6,3,22,años,2,10,Miraflores,Casa,789408,Soles
71,m²,6,3,24,años,0,18,San Isidro,Departamento,387342,Soles
214,m²,4,2,5,años,2,13,La Molina,Departamento,627950,Soles
163,m²,5,2,27,años,1,20,San Isidro,Casa,623535,Soles
107,m²,2,2,37,años,2,7,Miraflores,Casa,444923,Soles
308,m²,2,4,9,años,2,19,Miraflores,Casa,845244,Soles
325,m²,5,1,11,años,1,5,Barranco,Departamento,833963,Soles
203,m²,4,4,19,años,1,9,Miraflores,Departamento,598797,Soles
107,m²,2,1,39,años,2,9,La Molina,Departamento,335083,Soles
158,m²,2,1,22,años,0,16,Miraflores,Casa,505462,Soles
231,m²,2,4,31,años,1,5,Miraflores,Departamento,589429,Soles
56,m²,4,1,17,años,1,8,Barranco,Departamento,319461,Soles
144,m²,1,2,28,años,2,16,Barranco,Casa,511204,Soles
274,m²,2,4,25,años,0,20,Barranco,Casa,763399,Soles
200,m²,4,5,36,años,2,18,La Molina,Departamento,630321,Soles
95,m²,4,4,2,años,0,17,La Molina,Casa,507380,Soles
60,m²,5,4,33,años,2,2,Miraflores,Casa,455806,Soles
243,m²,3,3,29,años,0,14,San Isidro,Departamento,648016,Soles
304,m²,2,4,28,años,0,17,Lima Centro,Departamento,715234,Soles
339,m²,6,5,8,años,1,14,San Isidro,Casa,1003432,Soles
131,m²,4,5,12,años,1,3,San Isidro,Casa,609132,Soles
123,m²,6,1,5,años,0,15,Barranco,Casa,515990,Soles
308,m²,6,4,32,años,2,6,Surco,Casa,895677,Soles
127,m²,3,5,9,años,0,5,Miraflores,Departamento,464297,Soles
197,m²,3,4,18,años,2,6,Lima Centro,Departamento,553094,Soles
41,m²,5,3,0,años,1,16,Surco,Departamento,365444,Soles
292,m²,2,2,37,años,2,16,Surco,Casa,758958,Soles
80,m²,5,5,0,años,0,18,San Isidro,Departamento,436605,Soles
134,m²,2,1,22,años,0,5,Lima Centro,Casa,393499,Soles
84,m²,1,1,26,años,0,6,Barranco,Casa,322848,Soles
344,m²,5,5,11,años,1,19,San Isidro,Departamento,922303,Soles
193,m²,3,3,24,años,0,14,La Molina,Departamento,512991,Soles
281,m²,2,1,17,años,1,17,Surco,Departamento,672601,Soles
147,m²,5,1,6,años,2,17,Lima Centro,Casa,586452,Soles
349,m²,7,3,27,años,2,11,San Isidro,Casa,1012100,Soles
328,m²,4,5,40,años,1,16,Miraflores,Departamento,861637,Soles
188,m²,2,1,7,años,0,15,Barranco,Departamento,503330,Soles
146,m²,7,5,26,años,1,2,San Isidro,Casa,684927,Soles
148,m²,1,2,18,años,1,3,San Isidro,Casa,491406,Soles
321,m²,3,1,7,años,2,11,San Isidro,Casa,888674,Soles
331,m²,5,1,11,años,0,11,San Isidro,Casa,895496,Soles
58,m²,6,2,30,años,0,15,La Molina,Casa,401708,Soles
251,m²,6,1,33,años,1,19,Barranco,Casa,766784,Soles
314,m²,1,2,36,años,2,11,San Isidro,Departamento,701584,Soles
183,m²,7,1,21,años,1,18,Miraflores,Casa,663880,Soles
344,m²,1,3,20,años,2,2,San Isidro,Casa,851488,Soles
294,m²,2,3,28,años,1,7,La Molina,Casa,741669,Soles
97,m²,3,1,12,años,0,15,La Molina,Departamento,352564,Soles
287,m²,5,2,12,años,1,16,Barranco,Casa,861825,Soles
207,m²,2,1,33,años,2,5,Miraflores,Departamento,525105,Soles
238,m²,6,5,7,años,0,10,Lima Centro,Departamento,704842,Soles
279,m²,1,1,33,años,2,10,Lima Centro,Casa,680467,Soles
147,m²,3,2,12,años,1,9,La Molina,Casa,544045,Soles
265,m²,6,1,17,años,0,6,San Isidro,Departamento,690399,Soles
326,m²,5,1,13,años,2,12,La Molina,Casa,886563,Soles
112,m²,6,3,36,años,0,6,Lima Centro,Casa,492390,Soles
213,m²,5,4,3,años,0,1,Surco,Departamento,624542,Soles
236,m²,1,1,27,años,1,6,Barranco,Casa,615590,Soles
222,m²,3,3,12,años,2,18,Lima Centro,Casa,690810,Soles
107,m²,1,4,6,años,1,10,Barranco,Casa,456237,Soles
158,m²,2,2,39,años,1,12,Surco,Departamento,439049,Soles
209,m²,7,3,29,años,1,1,Lima Centro,Casa,683598,Soles
219,m²,4,4,10,años,1,12,La Molina,Departamento,652088,Soles
92,m²,4,1,20,años,2,3,San Isidro,Casa,458267,Soles
342,m²,4,2,39,años,0,18,Miraflores,Casa,864353,Soles
73,m²,3,2,37,años,1,14,La Molina,Casa,369886,Soles
160,m²,2,1,36,años,1,4,La Molina,Casa,462323,Soles
324,m²,1,4,11,años,1,13,Lima Centro,Departamento,757325,Soles
345,m²,7,4,20,años,1,2,Lima Centro,Departamento,934145,Soles
111,m²,5,1,9,años,2,5,Surco,Casa,511557,Soles
335,m²,4,2,13,años,2,11,San Isidro,Casa,930690,Soles
216,m²,1,5,0,años,2,17,Surco,Departamento,653269,Soles
190,m²,1,3,35,años,0,1,Barranco,Casa,501989,Soles
184,m²,7,1,15,años,1,19,Surco,Casa,698046,Soles
235,m²,4,4,27,años,2,7,Barranco,Departamento,684321,Soles
111,m²,2,5,24,años,1,14,Miraflores,Casa,519395,Soles
104,m²,2,1,4,años,2,1,Miraflores,Casa,454317,Soles
263,m²,2,1,8,años,2,14,Surco,Casa,733845,Soles
132,m²,4,5,27,años,2,15,Surco,Casa,571994,Soles
135,m²,4,5,0,años,2,16,Barranco,Departamento,577470,Soles
296,m²,3,4,34,años,2,12,Lima Centro,Departamento,740834,Soles
287,m²,6,3,7,años,2,16,Barranco,Departamento,819311,Soles
309,m²,7,3,29,años,2,3,La Molina,Departamento,843871,Soles
281,m²,6,1,40,años,2,19,San Isidro,Departamento,800217,Soles
215,m²,5,1,30,años,1,17,Surco,Casa,665191,Soles
220,m²,7,3,18,años,0,2,Barranco,Casa,767642,Soles
328,m²,3,1,40,años,1,19,Miraflores,Departamento,763612,Soles
189,m²,7,5,1,años,1,16,Lima Centro,Departamento,684934,Soles
79,m²,7,3,16,años,0,20,San Isidro,Casa,554220,Soles
171,m²,1,1,38,años,0,19,Barranco,Departamento,408598,Soles
268,m²,3,2,16,años,2,8,Surco,Departamento,712987,Soles
310,m²,7,1,21,años,0,5,La Molina,Departamento,819693,Soles
293,m²,7,4,24,años,0,15,Barranco,Departamento,816418,Soles
335,m²,6,3,3,años,2,9,Lima Centro,Departamento,876583,Soles
277,m²,4,4,19,años,1,18,Miraflores,Casa,846994,Soles
239,m²,4,3,9,años,2,14,Lima Centro,Casa,761852,Soles
269,m²,4,3,33,años,2,2,Lima Centro,Casa,780528,Soles
261,m²,5,3,21,años,1,9,Lima Centro,Casa,778683,Soles
339,m²,4,4,15,años,2,19,Miraflores,Casa,983814,Soles
132,m²,3,5,0,años,2,1,Lima Centro,Departamento,485351,Soles
90,m²,5,1,28,años,1,8,Barranco,Casa,429308,Soles
138,m²,1,1,39,años,0,2,La Molina,Departamento,320481,Soles
102,m²,6,1,5,años,2,5,Surco,Departamento,488320,Soles
96,m²,6,2,16,años,1,15,Barranco,Departamento,458463,Soles
272,m²,3,4,20,años,1,6,Lima Centro,Casa,773328,Soles
